decision_group_id,entity_type,entity_id,sku_or_signature,woo_id,source,source_row,name,quarantine_reason,affected_edges,affected_combinations,original_status,quarantine_status,worker_review_status,notes
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0201001|0201001|0201001|0201001|1242001|1242001|1242001|1242001,0201001|0201001|0201001|0201001|1242001|1242001|1242001|1242001,,MAESTRO,311,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,2,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0201001|0201001|0201001|0201001|1243001|1243001|1243001|1243001,0201001|0201001|0201001|0201001|1243001|1243001|1243001|1243001,,MAESTRO,312,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,2,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0201001|0201001|0201001|0201001|1244001|1244001|1244001|1244001,0201001|0201001|0201001|0201001|1244001|1244001|1244001|1244001,,MAESTRO,314,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,2,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0201001|0201001|0201001|0201001|1245001|1245001|1245001|1245001,0201001|0201001|0201001|0201001|1245001|1245001|1245001|1245001,,MAESTRO,313,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,2,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0201001|0201001|0201001|0201001|1249001|1249001|1249001|1249001,0201001|0201001|0201001|0201001|1249001|1249001|1249001|1249001,,MAESTRO,315,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,2,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0201001|0201001|0727007|0727007,0201001|0201001|0727007|0727007,,MAESTRO,357,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,2,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0201001|0201001|0727007|0727007|0608007|0608007,0201001|0201001|0727007|0727007|0608007|0608007,,MAESTRO,358,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,3,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0201001|0201001|0730009|0730009,0201001|0201001|0730009|0730009,,MAESTRO,359,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,2,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0201001|0201001|0730009|0730009|0608007|0608007,0201001|0201001|0730009|0730009|0608007|0608007,,MAESTRO,360,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,3,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0404017|0402020|0402020,0404017|0402020|0402020,,MAESTRO,13,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,2,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0504010|1251006,0504010|1251006,,MAESTRO,330,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,2,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0504010|1251006|0608002,0504010|1251006|0608002,,MAESTRO,331,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,3,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0504015|0724002,0504015|0724002,,MAESTRO,333 | 335 | 337,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,6,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0504015|0724002|0616010,0504015|0724002|0616010,,MAESTRO,334 | 336 | 338,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,9,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0504016|0724002,0504016|0724002,,MAESTRO,340,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,2,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0504016|0724002|0608003,0504016|0724002|0608003,,MAESTRO,341,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,3,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
TECH-001,UNRESOLVED_SOURCE_COMPOSITION,0504016|0724005,0504016|0724005,,MAESTRO,342,,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,2,0,HISTORICAL_COMPOSITION_EVIDENCE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL,Source evidence retained outside the operational graph pending exact identity evidence.
