item_id,name,cubic_meters,rotation_c,packages,primary_supplier_price,pascal_price,family,subgroup,size,materials,commercial_status,heca_reference,woo_sku,notes,quantity_in_order,m3_template
608001,"Funda Futón 200 x 90 x 14 cm, Crudo",0.006,0.042191781,1,31.19,33.2,Fundas,Funda/cover,"90x200x14,5 cm",Funda,Normal,0608001,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 6.0,6.0,0.006
608002,"Funda Futón 200 x 140 x 14 cm, Crudo",0.006,0.059452055,1,37.45,40.4,Fundas,Funda/cover,"140x200x14,5 cm",Funda,Normal,0608002,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 6.0,6.0,0.006
608003,"Funda Futón 200 x 160 x 14 cm, Crudo",0.006,0.030684932,1,42.8,46.7,Fundas,Funda/cover,"160x200x14,5 cm",Funda,Normal,0608003,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 3.0,3.0,0.006
608005,"Funda Futón 200 x 180 x 14 cm, Crudo",0.006,0.024931507,1,48.16,51.3,Fundas,Funda/cover,"180x200x14,5 cm",Funda,Normal,0608005,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 2.0,2.0,0.006
608017,"Funda Almohada 70x40 cm, Crudo",0.006,0.011506849,1,4.85,5,Fundas,Funda/cover for pillows 70x40 cm,70x40 cm ,Funda,Normal,0608017,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 40.0,40.0,0.001
616001,"Funda Futón 200 x 90 x 14 cm, Negra",0.006,0.005753425,1,31.19,33.2,Fundas,Funda/cover,"90x200x14,5 cm",Funda,Normal,0616001,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 4.0,4.0,0.006
616004,"Funda Futón 200 x 150 x 14 cm, Negra",0.006,0.011506849,1,40.13,43.4,Fundas,Funda/cover,"150x200x14,5 cm",Funda,Normal,0616004,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 4.0,4.0,0.006
616007,"Funda Futón Sésamo 200 x 80 x 13 cm, Negra",0.006,0.013424658,1,36.93,39.05,Fundas,Funda/cover and 2 cover pillows 50x50 cm,80x200x13 cm,Funda,Normal,0616007,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 2.0,2.0,0.006
617004,"Funda Futón 200 x 150 x 14 cm, Gris JASPEADO",0.001,0.001917808,1,40.13,43.4,Fundas,Funda/cover,"150x200x14,5 cm",Funda,Normal,0617004,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 2.0,2.0,0.006
619002,"Funda Futón 200 x 140 x 14 cm, BeigeJaspeado",0.006,0.024931507,1,37.45,,Fundas,Funda/cover,"140x200x14,5 cm",Funda,Normal,0619002,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 2.0,2.0,0.006
619004,"Funda Futón 200 x 150 x 14 cm, Beige Jaspeado",0.006,0.005753425,1,40.14,,Fundas,Funda/cover,"150x200x14,5 cm",Funda,Normal,0619004,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 4.0,4.0,0.006
721001,Futón de Algodón 90 x 200 x 6 cm.,0.006,0.034520548,1,45.81,36.3,Futones,Algodón ,90x200x6 cm ,Algodón,Normal,0721001,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 2.0,2.0,0.32
722001,Futón de Algodón 90 x 200 x 8 cm.,0.14,0.0384,1,48.33,51.1,Futones,Algodón ,90x200x8 cm ,Algodón,Normal,0722001,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 6.0,6.0,0.324
722003,Futón de Algodón 140 x 200 x 8 cm.,0.17,0.036438356,1,68.82,72.8,Futones,Algodón,140x200x8 cm ,Algodón,Normal,0722003,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 2.0,2.0,0.504
724001,Futón de Algodón 90 x 200 x 14 cm.,0.14,0.057534247,1,53.9,56.7,Futones,Algodón,"90x200x14,5 cm",Algodón,Normal,0724001,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 10.0,10.0,0.45
724003,Futón de Algodón 140 x 200 x 14 cm.,0.26,0.182191781,1,76.8,77.02,Futones,Algodón,"140x200x14,5 cm",Algodón,Normal,0724003,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 13.0,13.0,0.63
724004,Futón de Algodón 150 x 200 x 14 cm.,0.35,0.051780822,1,80.64,77.5,Futones,Algodón,"150x200x14,5 cm",Algodón,Normal,0724004,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 4.0,4.0,0.675
724007,Futón de Algodón 200 x 200 x 14 cm.,0.46,0.011506849,1,107.52,108.5,Futones,Algodón,"200x200x14,5 cm",Algodón,Normal,0724007,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 2.0,2.0,0.9
724008,Futón de Algodón 140 x 190 x 14 cm.,0.6,0.047945205,1,71.5,74.2,Futones,Algodón,"140x190x14,5 cm.",Algodón,Normal,0724008,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 2.0,2.0,0.63
